Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
43683,-4.69,0.78,14.81,13.84,185,0.97,2368,0.00,33.50,7.01,115,1.00,13.93,-0.87,38.06,2.50,0.00,24.71,74.13
44002,-4.69,0.78,14.81,13.92,185,0.96,2372,0.00,33.50,7.18,115,1.00,13.93,-0.73,37.94,2.50,0.00,24.71,72.24
44321,-5.47,0.78,14.70,13.84,185,0.99,2366,0.00,33.50,7.03,115,1.00,13.93,-0.73,37.93,2.52,0.00,24.71,71.83
44640,-4.69,0.78,14.70,13.84,185,0.96,2378,0.00,33.50,7.10,115,1.00,13.93,-0.87,37.82,2.50,0.00,24.71,74.71
44957,-4.69,0.78,14.70,13.68,185,0.96,2380,0.00,33.50,7.18,115,1.00,13.78,-0.87,38.20,2.52,0.00,24.71,74.18
45276,-4.69,0.78,14.70,13.76,185,0.95,2417,0.00,33.50,7.17,115,1.00,13.78,-0.87,37.71,2.50,0.00,24.31,73.26
45595,-4.69,0.78,14.70,13.76,185,0.97,2407,0.00,33.50,7.16,115,1.00,13.78,-1.02,38.10,2.50,0.00,24.31,74.70
45914,-5.47,0.78,14.70,13.84,185,0.95,2428,0.00,33.50,7.25,115,1.00,13.78,-1.02,38.84,2.52,0.00,24.31,74.52
46232,-5.47,0.78,14.81,13.84,185,0.94,2408,0.00,33.50,7.26,115,1.00,13.78,-1.02,38.34,2.50,0.00,24.31,73.05
46551,-5.47,0.78,14.70,13.76,185,0.94,2429,0.00,33.50,7.32,115,1.00,13.64,-1.02,38.47,2.50,0.00,24.31,74.75
46869,-5.47,0.78,14.70,13.84,185,0.96,2414,0.00,33.50,7.21,115,1.00,13.78,-0.87,38.59,2.52,0.00,24.31,74.46
47188,-6.25,0.78,14.70,13.76,185,0.96,2412,0.00,33.50,7.20,113,1.00,13.64,-1.02,38.85,2.52,0.00,24.31,73.06
47507,-5.47,0.78,14.70,13.76,185,0.97,2431,0.00,33.50,7.26,113,1.00,13.64,-1.02,39.21,2.54,0.00,24.31,74.96
47826,-5.47,0.78,14.70,13.84,185,0.96,2436,0.00,33.50,7.28,113,1.00,13.78,-1.02,38.84,2.52,0.00,24.31,73.07
48145,-5.47,0.78,14.81,13.84,185,0.95,2439,0.00,33.50,7.29,113,1.00,13.64,-1.02,39.33,2.54,0.00,24.71,73.55
48463,-4.69,0.00,14.81,13.68,185,0.96,2473,0.00,33.50,7.43,113,1.00,13.64,-1.02,39.60,2.54,0.00,24.31,75.19
48782,-4.69,0.78,14.70,13.76,185,0.96,2452,0.00,33.50,7.40,113,1.00,13.78,-1.02,39.46,2.54,0.00,24.31,74.39
49100,-4.69,0.78,14.70,13.92,185,0.96,2440,0.00,33.50,7.40,113,1.00,13.64,-1.02,39.85,2.54,0.00,24.31,74.08
49419,-4.69,0.78,14.70,13.84,185,0.97,2474,0.00,33.50,7.39,113,1.00,13.64,-1.02,40.27,2.54,0.00,24.31,75.03
49738,-4.69,0.78,14.70,13.92,185,0.96,2521,0.00,33.50,7.43,113,1.00,13.64,-1.02,39.85,2.54,0.00,24.31,75.43
50057,-4.69,0.78,14.70,13.84,185,0.92,2482,0.00,34.00,7.41,113,1.50,13.35,-1.31,38.60,2.50,0.00,23.53,72.51
